,x,y,z,momx,momy,momz,PSD1,PSD2,PSD3,PSD4,PSD5,PSD6,PSD7,PSD8,PSD9,PSD10,PSD11,PSD12,PSD13,PSD14,PSD15,PSD16,PSD17,PSD18,PSD19,PSD20,PSD21,PSD22,PSD23,PSD24,PSD25,PSD26,PSD27,PSD28,PSD29,PSD30,PSD31,PSD32,PSD33,PSD34,PSD35,PSD36,PSD37,PSD38,PSD39,PSD40,PSD41,PSD42,PSD43,PSD44,PSD45,PSD46,PSD47,PSD48,PSD49,PSD50,residual_Variance,subject_ID,Group,Cluster
189,-25.352182976293832,-99.6100361264856,-13.532184040701779,-12848.167360040761,-26694.13232692679,1759.9693568859761,-6.861872143107666,-11.12174805987394,-14.370444544268356,-14.78984370266782,-15.030622384183864,-14.879285994378254,-13.799266796638502,-12.725300566245568,-11.59278832997282,-10.645285054271305,-10.177636746747005,-10.809867994424685,-11.464530929446031,-12.13506799348137,-12.83651141080038,-12.696511584498833,-12.42873321179424,-12.514796909742408,-12.668147502657357,-12.531245687949848,-12.05046133865366,-12.205144317587305,-12.586864485337683,-12.416157672229213,-12.214824934311274,-12.66684206124653,-12.359539190372468,-12.481593904467621,-12.904566386120035,-12.885551939813665,-12.228492880705257,-12.584216609767235,-12.355241816083973,-12.492125916591926,-12.405793002847762,-12.43248687466118,-12.226472223199782,-12.580163965356078,-12.466326966080548,-12.627302754888044,-12.800822074789131,-12.792468192182815,-12.667051129289426,-12.893429360450941,-12.799705764210351,-12.45109002904522,-12.54359595382114,-12.699065359899768,-13.075957656116694,-14.179488451824373,0.004392906953582727,18,1,4
207,4.786298083668955,-103.38327055142199,-10.586134466234,3346.0546607764963,-22320.856395665265,3555.441616437801,-8.0387555563534,-10.481051448559437,-12.740874188354006,-12.8240867636473,-13.522949596809719,-12.600190423327334,-9.069637961639827,-7.4540821829550605,-5.115665737830267,-3.236344737801496,-2.291867082604969,-2.607394872676964,-4.181205391968119,-5.27142315278041,-5.520657908529461,-5.651327087793318,-5.671972816757194,-4.4991890343299765,-3.8382605251420436,-3.24336733120092,-3.0519797267735638,-2.7423229163867346,-2.861304305512143,-3.171768657786842,-3.852844253249454,-3.5625984397536103,-3.6221457263742978,-2.9937256400065326,-2.7545437712397938,-2.9371795875566638,-3.100360166825556,-3.077032036917169,-3.0263075615202744,-3.060848293456617,-3.0010918525654757,-2.755067845144446,-2.972781850995384,-2.3442280903730306,-2.4449900142370753,-2.681160524055076,-2.432954972459177,-2.2931456036216074,-2.6297250514687374,-2.85044836096993,-2.5049458224019467,-2.229535020036223,-2.819308965461767,-2.81289988071019,-2.4884275528169417,-3.522405645711438,0.002277289806063526,19,1,4
212,7.1220523349023175,-104.98350557849047,4.758277801377577,17434.309173156485,-31777.500861732202,6692.479550059456,-10.651921320894546,-12.989651062219547,-15.00055974291575,-16.02104640832896,-16.677467224687636,-16.65507623998918,-16.086076806727057,-13.796753693965416,-10.797562755437838,-8.778606108173314,-8.650796374395668,-9.658283054400595,-10.88344403701864,-12.238449335090847,-12.52880165083772,-13.030883690537859,-12.973701191919101,-12.725143049282035,-11.69115204922238,-11.471598415883333,-11.27292504602444,-10.891664223251542,-10.902895897907715,-11.038056714419806,-11.000951013868718,-11.65136109329511,-11.395167370893287,-11.445505014329786,-11.377279348036772,-11.131442472344535,-10.82423045600126,-10.945373800954732,-10.957464272928219,-10.862554241610862,-11.059941097362733,-10.96025364767464,-11.076505287536222,-11.177763871156285,-10.544881445327608,-10.832387637584626,-10.832424327533744,-10.928861479109607,-11.176741954788131,-11.077273947705295,-10.717119172212342,-10.73542211834367,-10.993960639107975,-11.12960167617702,-11.251670196878589,-12.61492175215347,0.014603041821632074,19,1,4
240,-11.116298238564271,-105.90016848210476,-11.079706146828611,-14380.27706288144,-14544.016823126198,5724.03840111536,-10.203285115561782,-12.165264406789365,-13.31161370117093,-12.953083547848635,-13.084089206710205,-12.520645668228074,-11.899770661218849,-9.851504556052413,-8.676825234181804,-9.148514181973617,-9.276818057161275,-10.406680546549104,-11.270547042308866,-12.212561168242788,-12.865061498286563,-13.018219839539897,-13.140840193203726,-12.871056579690194,-13.012214433209364,-12.755900442524249,-12.409318443012943,-12.38730817278958,-13.010805328788289,-12.69598988328486,-12.490163289053072,-12.843507769018451,-13.053448053717851,-13.279972560888169,-13.133665819354366,-13.069569442923177,-12.712809560647349,-12.707915984099447,-12.866071127275148,-12.60670730801861,-13.043360980050691,-13.0285880322329,-12.79896530612838,-13.16326803877773,-13.025130492087678,-13.59609050150912,-13.607982673991996,-13.700410400340106,-13.08280189373738,-13.316760350654814,-13.387800132146001,-13.406527371657187,-13.152168028363448,-12.967400209874222,-13.311247939802328,-14.755002876743879,0.016262899562818175,20,1,4
242,3.802369863709162,-92.93519279856447,11.814758632428617,-127.61255607284511,-22331.384699463608,4257.84506755425,-6.769516515821793,-9.280572458932987,-10.48575905738958,-10.486571407651672,-9.359769552160776,-9.626956679726154,-10.34173658759396,-9.16719551441483,-8.614693504631155,-9.01686772241755,-9.676083422257465,-10.582131667112769,-11.343045563710909,-12.140077559722638,-12.314038771994934,-12.901665056281992,-13.306426495274582,-12.76526009523247,-13.088079430588671,-14.099122349812491,-14.322709309043557,-14.711031720752015,-15.218497795102266,-15.502533256921847,-15.554039328125437,-15.428510895563253,-15.645187425569313,-15.913535984947046,-16.329410398579803,-16.58891116523316,-16.027879302267685,-16.73976921224503,-16.413492894390384,-16.412327253830156,-16.327054095258127,-16.218113692290256,-15.977361427324404,-16.668775738345975,-16.441801709631612,-16.377662936681098,-16.934422297942486,-16.934913175458178,-17.057849329584297,-17.037698276163788,-17.249229967482936,-17.284581831806307,-16.81821469836137,-16.230711218580645,-16.569756815456568,-17.791968132057384,0.009636757638591554,20,1,4
269,30.82618638837172,-92.80052060467595,-7.608719933111468,23221.593112782903,-19994.195737812013,-3008.5376631102017,-12.577891277090679,-13.056170074537848,-14.839577524176608,-15.578811671479682,-16.10740158560733,-16.101713229768635,-15.705024235918415,-12.906190344091284,-10.128223182317868,-8.118789829022765,-8.66928842668052,-11.561771105613747,-14.147650749984065,-16.257105559240173,-17.89272176851566,-18.778172787837406,-18.949681274176125,-19.039556884677044,-18.724715089491912,-18.748266631856687,-18.889197651711125,-19.14836442418223,-20.35469522420535,-21.035865451748357,-21.554493094380348,-21.615466917839868,-22.585182787672473,-23.3030527822819,-23.552150010565853,-23.756007468175866,-23.79470945043275,-24.291532441580355,-25.253723141553444,-25.699483576819553,-25.85737298160268,-26.150553657282032,-26.4679072230171,-26.619858267794243,-26.875085311146098,-27.138725160711648,-27.485236070596166,-27.341767432950917,-27.477813734721302,-27.475353713897697,-28.034172236604597,-28.35029913016982,-28.290185757953253,-28.295281756142895,-28.531693482806556,-30.110872265191077,0.021717139382021914,27,1,4
278,1.0564311725434028,-118.12904005943906,4.923281563775962,2059.749525366685,4144.256609124159,-10463.581068167905,-14.03767158470012,-16.97908555433922,-19.235060637254175,-21.031529466543994,-22.12143369867967,-22.710633608224867,-22.85948405576782,-22.14917804165447,-20.757765916134467,-20.228975616309214,-22.098169953712098,-24.491608561897515,-26.22714652523944,-27.22874638540383,-27.08807588124548,-27.254659547934644,-27.3040742377827,-27.578933460766066,-27.762722982814843,-27.93379035195576,-28.40107030140831,-28.595668869684022,-28.68309679983882,-28.85042226702319,-28.84159475826862,-28.86757398963074,-29.125036775030804,-29.341787744292116,-29.487844434266076,-29.65392948243307,-29.76908828747762,-30.329989385394597,-30.585838246921696,-30.21211011007641,-30.432038708377263,-30.501009918298507,-30.511662473580824,-30.42150095451422,-30.38960401557358,-30.00937073076325,-30.811832756536077,-31.21951307766033,-30.93263948810631,-30.973406140963974,-30.90979292972605,-31.14907202217185,-31.291552904361893,-31.16795455951548,-31.131708810837747,-32.36490482213556,0.02003776631757292,27,1,4
287,0.9077999143113717,-73.29662633158567,-3.7803054293156997,-2148.611618936233,-30190.308941923256,-6818.513153230826,-3.7790097274609353,-4.412559016681189,-6.151349402577564,-8.232343599647391,-10.180552136816045,-10.434645913207152,-11.382967769108758,-11.616951737519807,-11.8851934079711,-10.973475520563785,-9.49312726745794,-9.88237260342758,-11.392012592530506,-12.043562536722934,-12.088913762868895,-11.945785471790007,-12.244898217791437,-12.946223356673753,-14.17935096664138,-14.600316650204032,-14.64327781135571,-14.827059189791989,-15.485465838713958,-16.57407743873833,-17.699473442142015,-17.344309844976852,-17.626497362816714,-18.26102794761153,-18.570580003400025,-18.941519350491692,-18.890522213984298,-19.122070269729996,-19.265652878943797,-19.13101091907707,-19.673971633100834,-19.447888973899794,-19.348829885727696,-20.116653901674752,-20.561989269320936,-20.30827146882207,-20.441846422792324,-20.93850524763542,-20.83571134176088,-20.592094077936242,-20.989960197189767,-20.337204771468418,-20.181977261248754,-21.286800312741775,-20.327491551637195,-21.59341287201137,0.03179214062404304,52,1,4
347,-1.9369048870881036,-108.05633492835939,2.769472351108929,5788.406269265044,-27981.295520167932,18235.39696776719,2.4452639243274983,0.40665693152558147,-3.1844132948319888,-6.325282158872314,-7.118529035447563,-7.368693330125716,-9.198269651518293,-10.118469959900667,-10.818166372793927,-12.705388957256904,-13.061047267352418,-13.993070964341161,-16.308845207171057,-16.25107091846084,-15.90082126907757,-16.46469252779859,-15.82001515787753,-15.663288527617725,-16.159715472649566,-17.307017273198106,-17.509766820554606,-17.54182972548118,-18.16856844783638,-19.377754987124415,-18.565185081949327,-18.169384444532092,-18.311115297730808,-18.395017444143935,-18.516544774148013,-18.019904107779215,-17.091899887487386,-17.772437812714095,-19.16217381943215,-20.60818931355503,-20.18745932622749,-19.322693376943324,-19.692254806180248,-19.251582803505812,-18.84371044266115,-18.957920214640108,-20.03631045192437,-20.278930256778104,-20.237030988088204,-21.874119017945613,-20.67859205708298,-20.932269173159696,-20.18849055198185,-19.48366225810233,-20.36764805676271,-21.60976467839406,0.10617292989108733,58,1,4
383,-4.678978319207269,-93.07834648533945,-6.385096458321055,-24872.677148621915,-2879.580856519835,-6195.483317174142,-4.095270138673287,-4.314613027352138,-6.7513915699884155,-8.746494624206502,-10.404538082488024,-11.214657849050894,-10.621514878264719,-7.958335835056295,-4.56451293655297,-1.544489970726157,-2.0208046535900306,-5.1832611791262515,-8.153956692977523,-9.958255902271866,-11.273575014051083,-12.234902843991575,-12.789202646690526,-13.764766244727893,-13.527468541810793,-13.543421393093551,-14.047999901176965,-15.12428226851512,-16.275382770679386,-17.124761978772916,-17.37882266201021,-17.753755463956008,-18.512724256986033,-18.733891624645004,-18.870404949997738,-19.422873576949588,-19.305020654220563,-19.074540399757602,-18.640253792318838,-18.61797126629422,-19.502299294992735,-19.410988812308247,-19.339972740085468,-19.263451397398516,-19.80453940845895,-20.014925743713903,-20.39836313997526,-20.36149056824997,-19.65502176315521,-19.246930572298385,-19.358592769279216,-18.750065019443582,-18.81246677118034,-19.3924900113868,-20.270052694333394,-21.3666673281927,0.05311433653610652,61,1,4
402,-0.8285295989119225,-92.0614177956305,-23.54795071857689,3388.144928065983,-15788.875049414173,1766.9377817992668,1.1330392886828164,-1.715590160849445,-4.257007224558825,-6.281401257633835,-7.292824092309369,-7.947803115003262,-8.352721011596955,-8.247692692528709,-7.909339668782325,-7.155432103905195,-7.232908694401655,-8.372414335167772,-8.054445277583643,-8.607095342988146,-9.115206343982807,-9.239540944956918,-9.69328439134537,-9.618937683080858,-9.568397240944703,-9.722055426772787,-10.29897398034747,-10.293097500621162,-10.662464312089803,-11.03608970039678,-10.805781751800602,-10.693410818362484,-11.320633924016256,-11.54086755866337,-11.775073169311373,-11.819732485723549,-11.562906264914448,-11.509939539694576,-11.741411924094777,-12.058195799719908,-11.787387698919343,-12.094828815529988,-12.050512500758934,-11.94477374597472,-11.873341237627937,-12.155326988231822,-12.182014612403043,-11.99520112345132,-12.110055096155927,-12.752553931815342,-13.05189218431245,-12.43566964231626,-12.533040543247875,-13.025232893918048,-13.197817473893345,-14.183216139449303,0.04712702192610711,63,1,4
470,-6.641562417911355,-91.68158300551673,-2.4529677248462636,-4679.794390752452,-7260.099569575787,21601.365607348976,-2.598313634455778,-4.765449579215081,-6.932463934709226,-7.73061488782429,-9.047262477407662,-10.326400950872303,-10.753801592434733,-9.88332671683372,-7.397849786863305,-6.959961793426158,-8.467036738507714,-8.141436663867022,-8.442569967734164,-7.935099971453905,-8.33502561802715,-9.552914165971929,-10.194408824415024,-11.145202011467576,-11.599387891180747,-12.749293498812435,-13.521916884786073,-14.176889566312742,-14.883186956525826,-15.32857143426378,-15.855833099620359,-16.104986374048092,-16.10671815933866,-16.41127409118629,-16.933927479375555,-16.954284697855627,-17.308130356334445,-17.848950638588327,-18.11325935701457,-18.244826469431146,-18.458095032646785,-18.83494912007823,-18.676603423756525,-19.07918196648461,-19.090775414357864,-19.198277647495953,-19.067273528488055,-19.3798684302402,-19.381136593181072,-19.22329166488139,-18.993334998007022,-19.20063848200913,-19.61044145705481,-20.132741927438317,-19.840373264564654,-21.354904323546215,0.048085646195595126,103,1,4
